,Concentration,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad
313,0.1,0.29313,0.59404,0.44503,0.04823,0.40688,0.49166,0.0035883611672444834,5.04847499733595e-06
335,0.04,0.27404,0.55684,0.50158,0.03914,0.32757,0.36463,0.0013111077272565832,-8.251631932813427e-08
273,20.0,0.26235,0.52559,0.48106,0.15506,0.41532,0.58046,0.013915311939732151,1.7672966131437911e-06
174,0.0,0.86927,0.30669,0.8878,0.2191,0.42468,0.52319,0.0004887010507073907,-4.776550242723604e-07
282,20.0,0.27178,0.58967,0.46555,0.15749,0.41989,0.43648,0.013335804561180574,1.7620873566947192e-06
226,4.0,0.49876,0.61756,0.48795,0.35199,0.47332,0.70168,0.013071462579843238,2.8011805094850116e-07
378,40.0,0.32873,0.69682,0.53733,0.0864,0.34701,0.48346,0.010779005700862907,3.1071327021108136e-06
251,10.0,0.44147,0.47899,0.43241,0.32182,0.45242,0.54919,0.013752713334318257,2.5926412259593727e-06
76,0.02,0.35512,0.63474,0.44775,0.0231,0.58962,0.40688,0.0017239492119088984,5.85926596331705e-06
319,0.04,0.58973,0.54732,0.68884,0.23817,0.59755,0.61398,0.001721109317056855,1.1936098122184484e-05
127,0.4,0.2645,0.53422,0.5932,0.40812,0.35818,0.38792,0.006412977699095861,1.4350142778448908e-06
364,40.0,0.31554,0.5833,0.52703,0.08867,0.32168,0.42914,0.013407842642040266,1.1041726951345015e-06
51,0.002,0.36816,0.56203,0.39702,0.62473,0.54403,0.5995,0.0012321805999011312,3.980028906010277e-06
171,0.0,0.30907,0.53114,0.49766,0.01045,0.39042,0.46471,0.0009074165581061376,-2.599915444395162e-06
201,1.0,0.22538,0.38215,0.16114,0.1693,0.75414,0.33655,0.008891205552359645,-4.7434309784297117e-07
236,10.0,0.2739,0.54037,0.5134,0.14702,0.39795,0.42297,0.014174706858647704,2.486508713380057e-06
32,0.002,0.3228,0.70922,0.47076,0.03823,0.39062,0.52434,0.0018413228782122103,1.8039391112272773e-06
299,0.1,0.43908,0.58805,0.53786,0.28459,0.23709,0.54263,0.003024665568030063,4.968227112064865e-06
328,0.04,0.33129,0.55955,0.49516,0.0429,0.63088,0.67232,0.003188760607781239,1.554492411075154e-05
263,20.0,0.31473,0.64636,0.52526,0.13428,0.42036,0.52202,0.013771384800996019,1.4426667781063521e-06
376,40.0,0.26042,0.54285,0.4666,0.04139,0.30134,0.34542,0.013826819494143336,-3.3144581139290795e-07
16,2.0,0.47518,0.49845,0.39751,0.40695,0.46205,0.55153,0.011872500900149813,8.168538579793038e-07
189,1.0,0.21933,0.76045,0.77859,0.22041,0.56283,0.18004,0.007895568101698749,-7.828191577729117e-07
372,40.0,0.31955,0.58924,0.51693,0.11448,0.27213,0.4738,0.014432756229262142,9.380781327836551e-07
33,0.002,0.13811,0.82707,0.29594,0.51808,0.72313,0.61643,0.0009103903617737218,-2.468540086369271e-05
354,40.0,0.29139,0.57399,0.49257,0.02156,0.38352,0.41942,0.012931672464224728,-2.838026125250637e-08
15,2.0,0.28045,0.5264,0.49847,0.26551,0.32432,0.48182,0.010692496958720892,-1.5824776810537543e-08
219,4.0,0.37041,0.53379,0.44426,0.28121,0.42491,0.35914,0.012399299855688927,1.6818647852462304e-06
65,0.02,0.33733,0.60324,0.52044,0.08574,0.29507,0.48432,0.0034519527931899754,1.0530082814739396e-05
50,0.002,0.20442,0.50418,0.26266,0.79571,0.30724,0.32011,0.0013121432897175013,-4.3658309953438645e-06
85,0.02,0.26664,0.59934,0.51899,0.01384,0.28335,0.43887,0.001436098121404145,7.676219351583955e-06
310,0.1,0.49493,0.45591,0.7579,0.36025,0.48896,0.98415,0.0027427986569631756,7.5396871549456655e-06
349,40.0,0.28475,0.63394,0.52557,0.05633,0.44217,0.4487,0.01123201778934051,6.508194592237355e-07
47,0.002,0.65641,0.97655,0.36374,0.04051,0.7097,0.40364,0.002098307549305559,-1.6940029225720596e-05
113,0.2,0.57436,0.52658,0.52936,0.49874,0.62336,0.5585,0.004075099498183108,1.1559003842545191e-06
129,0.4,0.37569,0.595,0.42135,0.27121,0.48025,0.75669,0.006835559000739964,7.382768733794258e-07
168,0.0,0.24635,0.61089,0.41551,0.06929,0.38963,0.42285,0.001962743879930592,3.504799246265804e-06
287,20.0,0.3061,0.58495,0.48693,0.12037,0.44662,0.41383,0.01538875529029776,1.958275797639769e-06
276,20.0,0.26603,0.49511,0.44421,0.12374,0.4957,0.49254,0.012741996598609516,2.409490863108738e-06
185,1.0,0.22525,0.58174,0.49587,0.11143,0.36986,0.44734,0.00761947927451712,-2.240787817744324e-06
10,2.0,0.43302,0.48829,0.35466,0.39487,0.54508,0.4055,0.009797836495832594,-1.020186917097947e-06
22,2.0,0.29652,0.61329,0.51154,0.21485,0.72751,0.7253,0.01032862070272524,-1.8974049473654622e-06
148,0.0,0.33303,0.70875,0.47502,0.06076,0.36752,0.44925,0.0007444664354582925,-6.141023709189756e-07
142,0.4,0.2265,0.58507,0.45971,0.12664,0.42947,0.2656,0.0077855140609458685,3.913352430995828e-07
337,0.04,0.25839,0.65627,0.45674,0.04352,0.32331,0.48681,0.0018221299141101945,8.721014120351005e-06
